Absender,Absender*in
Aktivist,Aktivist*in
Arbeitgeber,Arbeitgeber*in
Ärzt,Ärzt*in
Außenminister,Außenminister*in
Autofahrer,Autofahrer*in
Autor,Autor*in
Beobachter,Beobachter*in
Berliner,Berliner*in
Besitzer,Besitzer*in
Besucher,Besucher*in
Betrachter,Betrachter*in
Buchhändler,Buchhändler*in
Bürger,Bürger*in
Chirurg,Chirurg*in
Demokrat,Demokrat*in
Einwohner,Einwohner*in
Empfänger,Empfänger*in
Erzieher,Erzieher*in
Expert,Expert*in
Fahrer,Fahrer*in
Fotograf,Fotograf*in
Freund,Freund*in
Gärtner,Gärtner*in
Gewinner,Gewinner*in
Inhaber,Inhaber*in
Journalist,Journalist*in
Kandidat,Kandidat*in
Kanzler,Kanzler*in
Käufer,Käufer*in
Kolleg,Kolleg*in
Künstler,Künstler*in
Lebenspartner,Lebenspartner*in
Lehrer,Lehrer*in
Leser,Leser*in
Mieter,Mieter*in
Migrant,Migrant*in
Mitarbeiter,Mitarbeiter*in
Mitspieler,Mitspieler*in
Nachfolger,Nachfolger*in
Nutzer,Nutzer*in
Oberbürgermeister,Oberbürgermeister*in
Partner,Partner*in
Patient,Patient*in
Pfleger,Pfleger*in
Politiker,Politiker*in
Polizist,Polizist*in
Radfahrer,Radfahrer*in
Redner,Redner*in
Regisseur,Regisseur*in
Risikopatient,Risikopatient*in
Schüler,Schüler*in
Seelsorger,Seelsorger*in
Sozialarbeiter,Sozialarbeiter*in
Spieler,Spieler*in
Sprecher,Sprecher*in
Staatsbürger,Staatsbürger*in
Student,Student*in
Tänzer,Tänzer*in
Träger,Träger*in
Trainer,Trainer*in
Verbraucher,Verbraucher*in
Vermieter,Vermieter*in
Vizepräsident,Vizepräsident*in
Wähler,Wähler*in
Zuschauer,Zuschauer*in
Antragssteller,Antragssteller*in
Assistent,Assistent*in
Dieb,Dieb*in
Dolmetscher,Dolmetscher*in
Feminist,Feminist*in
Gastgeber,Gastgeber*in
König,König*in
Kurator,Kurator*in
Mitbewohner,Mitbewohner*in
Newcomer,Newcomer*in
Professor,Professor*in
Redakteur,Redakteur*in
Referent,Referent*in
Schlachter,Schlachter*in
Täter,Täter*in
Teilnehmer,Teilnehmer*in
User,User*in
Verkäufer,Verkäufer*in
Vertreter,Vertreter*in
Wissenschaftler,Wissenschaftler*in
